Transaction_ID,Date,Day_of_Week,Branch_ID,Branch_Location,Product_ID,Drug_Name,Category,Quantity,Unit_Price_KES,Total_Sale_KES,Payment_Method
1001,2025-10-01,Wednesday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,1,120,120,M-Pesa
1002,2025-10-01,Wednesday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1003,2025-10-01,Wednesday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,3,90,270,Card
1004,2025-10-01,Wednesday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,
1005,2025-10-01,Wednesday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,1,25,25,M-Pesa
1006,2025-10-01,Wednesday,B01,Nairobi CBD,P008,Insulin,Diabetes,3,450,1350,Card
1007,2025-10-01,Wednesday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,2,35,70,Cash
1008,2025-10-01,Wednesday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,3,25,75,Cash
1009,2025-10-01,Wednesday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1010,2025-10-01,Wednesday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,3,25,75,M-Pesa
1011,2025-10-01,Wednesday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,
1012,2025-10-01,Wednesday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,1,35,35,Cash
1013,2025-10-01,Wednesday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1014,2025-10-01,Wednesday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,2,20,40,M-Pesa
1015,2025-10-01,Wednesday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,1,20,20,M-Pesa
1016,2025-10-01,Wednesday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,2,40,80,Card
1017,2025-10-01,Wednesday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,2,20,40,M-Pesa
1018,2025-10-01,Wednesday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,2,15,30,M-Pesa
1019,2025-10-01,Wednesday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,2,25,50,M-Pesa
1020,2025-10-01,Wednesday,B01,Nairobi CBD,P006,,Cold & Flu,1,90,90,M-Pesa
1021,2025-10-01,Wednesday,B01,Nairobi CBD,P008,,Diabetes,1,450,450,M-Pesa
1022,2025-10-01,Wednesday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,2,30,60,M-Pesa
1023,2025-10-01,Wednesday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,2,15,30,Insurance
1024,2025-10-01,Wednesday,B01,Nairobi CBD,P008,Insulin,Diabetes,1,450,450,M-Pesa
1025,2025-10-01,Wednesday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,1,10,10,
1026,2025-10-01,Wednesday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,1,25,25,Cash
1027,2025-10-01,Wednesday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1028,2025-10-01,Wednesday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,Card
1029,2025-10-01,Wednesday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,3,25,75,M-Pesa
1030,2025-10-01,Wednesday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,2,35,70,M-Pesa
1031,2025-10-01,Wednesday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,3,35,105,Cash
1032,2025-10-01,Wednesday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,2,10,20,M-Pesa
1033,2025-10-01,Wednesday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,2,10,20,M-Pesa
1034,2025-10-01,Wednesday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1035,2025-10-01,Wednesday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,2,35,70,Card
1036,2025-10-01,Wednesday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,M-Pesa
1037,2025-10-01,Wednesday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,3,90,270,Insurance
1038,2025-10-01,Wednesday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,1,90,90,M-Pesa
1039,2025-10-01,Wednesday,B02,Embakasi,P010,Antacid Tablets,Digestive,1,20,20,M-Pesa
1040,2025-10-01,Wednesday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,3,25,75,M-Pesa
1041,2025-10-01,Wednesday,B02,,P003,Amoxicillin 250mg,Antibiotic,3,35,105,Card
1042,2025-10-01,Wednesday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,1,120,120,Insurance
1043,2025-10-01,Wednesday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,1,35,35,Cash
1044,2025-10-01,Wednesday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,3,15,45, M-Pesa
1045,2025-10-01,Wednesday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,2,30,60,Card
1046,2025-10-01,Wednesday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10, M-Pesa
1047,2025-10-01,Wednesday,B02,Embakasi,P006,Cough Syrup,Cold & Flu,2,90,180,M-Pesa
1048,2025-10-01,Wednesday,B02,Embakasi,P007,Metformin 500mg,Diabetes,2,40,80,M pesa
1049,2025-10-01,Wednesday,B02,Embakasi,P008,Insulin,Diabetes,2,450,911,M-Pesa
1050,2025-10-01,Wednesday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10,Cash
1051,2025-10-01,Wednesday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,2,120,240,M-Pesa
1052,2025-10-01,Wednesday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,1,25,25,M-Pesa
1053,2025-10-01,Wednesday,B02,Embakasi,P010,Antacid Tablets,Digestive,2,20,40,M-Pesa
1054,2025-10-01,Wednesday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,3,15,45,M-Pesa
1055,2025-10-01,Wednesday,B02,Embakasi,P007,Metformin 500mg,Diabetes,3,40,120,M-Pesa
1056,2025-10-01,Wednesday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,1,25,25,M-Pesa
1057,2025-10-01,Wednesday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,3,15,45,Cash
1058,2025-10-01,Wednesday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,3,10,30,
1059,2025-10-01,Wednesday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,2,15,30,M-Pesa
1060,2025-10-01,Wednesday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10,M-Pesa
1061,2025-10-01,Wednesday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,2,120,240,Cash
1062,2025-10-01,Wednesday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,2,30,60,Cash
1063,2025-10-01,Wednesday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,2,35,70,M-Pesa
1064,2025-10-01,Wednesday,B02,embakasi,P004,Azithromycin 500mg,Antibiotic,2,120,240,M-Pesa
1065,2025-10-01,Wednesday,B02,Embakasi,P005,,Supplement,2,25,50,M-Pesa
1066,2025-10-01,Wednesday,B02,Embakasi,P007,Metformin 500mg,Diabetes,2,40,80,Card
1067,2025-10-01,Wednesday,B02,Embakasi,P010,Antacid Tablets,Digestive,2,20,40,M-Pesa
1068,2025-10-01,Wednesday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,1,30,30,Cash
1069,2025-10-01,Wednesday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1070,2025-10-01,Wednesday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,2,15,30,M-Pesa
1071,2025-10-02,Thursday,B01,,P003,Amoxicillin 250mg,Antibiotic,2,35,70,M-Pesa
1072,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,2,15,30,M-Pesa
1073,2025-10-02,Thursday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,2,25,50,Cash
1074,2025-10-02,Thursday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,2,35,70,Cash
1075,2025-10-02,Thursday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,3,30,90,Cash
1076,2025-10-02,Thursday,B01,Nairobi CBD,P008,Insulin,Diabetes,3,450,1350,M-Pesa
1077,2025-10-02,Thursday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,2,90,180,Cash
1078,2025-10-02,Thursday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,Cash
1079,2025-10-02,Thursday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,1,90,90,Card
1080,2025-10-02,Thursday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,2,40,91, M-Pesa
1081,2025-10-02,Thursday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1082,2025-10-02,Thursday,B01,Nairobi CBD,P001,,Pain Relief,1,10,10,Cash
1083,2025-10-02,Thursday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,2,90,180,
1084,2025-10-02,Thursday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,3,30,90,Cash
1085,2025-10-02,Thursday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,1,30,30, M-Pesa
1086,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,2,15,30,Insurance
1087,2025-10-02,Thursday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,1,20,20,Insurance
1088,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1089,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,26,Cash
1090,2025-10-02,Thursday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,1,35,35,M-Pesa
1091,2025-10-02,Thursday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,3,90,281,Insurance
1092,2025-10-02,Thursday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,1,10,10,M-Pesa
1093,2025-10-02,Thursday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,1,10,10,M pesa
1094,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,
1095,2025-10-02,Thursday,B01,,P010,Antacid Tablets,Digestive,3,20,60,Cash
1096,2025-10-02,Thursday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,1,25,25,M-Pesa
1097,2025-10-02,Thursday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,1,90,90,M-Pesa
1098,2025-10-02,Thursday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,M-Pesa
1099,2025-10-02,Thursday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1100,2025-10-02,Thursday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,M-Pesa
1101,2025-10-02,Thursday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1102,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,3,15,45,Cash
1103,2025-10-02,Thursday,B01,Nairobi CBD,P008,Insulin,Diabetes,3,450,1350,M-Pesa
1104,2025-10-02,Thursday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,1,35,35,Cash
1105,2025-10-02,Thursday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,3,90,270,M-Pesa
1106,2025-10-02,Thursday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1107,2025-10-02,Thursday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,3,120,360,Cash
1108,2025-10-02,Thursday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,2,10,20,M-Pesa
1109,2025-10-02,Thursday,B02,embakasi,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1110,2025-10-02,Thursday,B02,embakasi,P004,Azithromycin 500mg,Antibiotic,3,120,360,Cash
1111,2025-10-02,Thursday,B02,Embakasi,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1112,2025-10-02,Thursday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,2,35,81,M-Pesa
